Date,Description,Amount
11/28/2016,Online banking xfer deposit FROM ...1042,8500
10/26/2016,Online banking xfer withdrawal TO ...1042,-2000
10/3/2016,Online banking xfer withdrawal TO ...1042,-3423.95
